srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,GLIMPSE,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,3.6mag,4.5mag,5.8mag,8.0mag,e_3.6mag,e_4.5mag,e_5.8mag,e_8.0mag,C,F(3.6),e_F(3.6),F(4.5),e_F(4.5),F(5.8),e_F(5.8),F(8.0),e_F(8.0),q_3.6mag,q_4.5mag,q_5.8mag,q_8.0mag,angDist
208016802010013,265.93173467937,-27.868663899735,QSO,0.597,,,,,,,0.6925237506646506,0.9128647060333706,G000.6924+00.9129,265.931617,-27.868708,0.3,0.3,90.0,12.172,12.116,12.023,11.581,0.092,0.091,0.19,0.301,A,3.799,0.3234,2.559,0.2146,1.784,0.3115,1.495,0.4149,00084540,00084400,00000000,00008200,0.40673
208016802010016,266.0593668211,-28.0406602155,STAR,0.428,,,,,,,0.6050680068190801,0.726730190806443,G000.6049+00.7266,266.059328,-28.04079,0.3,0.3,90.0,12.848,12.774,,,0.042,0.065,,,C,2.038,0.07975,1.396,0.08412,,,,,00004340,00004240,,,0.483036
208016802010028,266.21594290213,-27.946128947965,QSO,0.417,,,,,,,0.7579488253459085,0.6583050067297047,G000.7578+00.6583,266.215818,-27.946216,0.3,0.3,90.0,13.19,13.241,,,0.078,0.147,,,C,1.488,0.1074,0.9082,0.1226,,,,,00000740,00000600,,,0.506105
208016802010034,266.06070375571,-27.901993366292,STAR,0.568,,,,,,,0.7238519335319873,0.7983037104540914,G000.7238+00.7982,266.060732,-27.902055,0.3,0.3,90.0,12.765,12.546,,,0.081,0.149,,,A,2.201,0.1647,1.722,0.2367,,,,,00084340,00000400,,,0.239337
208016802010061,265.97761710155,-27.979967147847,GALAXY,0.704,,,STAR,1.0,,,0.6189752999980893,0.8200003814153324,G000.6189+00.8200,265.977552,-27.979959,0.3,0.3,90.0,9.048,8.931,8.789,8.776,0.022,0.026,0.02,0.017,C,67.51,1.36,48.09,1.164,35.08,0.6317,19.81,0.3095,00004040,00000000,00008000,00000000,0.209232
208016802010065,266.0336646363,-28.016154314085,GALAXY,0.498,,,STAR,1.0,,,0.614070836783501,0.7588896910137075,G000.6140+00.7588,266.03372,-28.016216,0.3,0.3,90.0,12.046,12.051,11.793,,0.067,0.121,0.117,,C,4.268,0.2637,2.718,0.3017,2.205,0.2383,,,00000640,00000200,00000200,,0.283472
208016802010068,266.189543351,-27.95650645248,QSO,0.863,,,,,,,0.7369161767331913,0.6727687436485499,G000.7368+00.6726,266.189607,-27.956662,0.3,0.3,90.0,13.542,13.118,,,0.083,0.093,,,C,1.076,0.08204,1.017,0.08743,,,,,00000440,00000200,,,0.595523
208016803010010,266.42060994055,-27.752804948436,STAR,0.623,,,,,,,1.0172946371447336,0.6047390866324637,G001.0173+00.6046,266.42071,-27.752757,0.3,0.3,90.0,7.934,7.981,7.933,7.913,0.022,0.02,0.017,0.013,C,188.3,3.837,115.4,2.145,77.2,1.213,43.86,0.5326,00004140,00004240,00008000,00008000,0.362835
208016803010029,266.47320171967,-28.039308615211,QSO,0.578,,,,,,,0.796882323748166,0.4158817607998455,G000.7969+00.4157,266.473362,-28.039309,0.3,0.3,90.0,11.128,11.149,10.724,10.803,0.064,0.068,0.056,0.045,C,9.936,0.5901,6.239,0.3929,5.905,0.3039,3.062,0.1278,00000600,00000400,00000000,00008000,0.509187
208016803010035,266.26678532368,-27.753759878199,QSO,0.773,,,STAR,1.0,,,0.9455003315580284,0.7204033557150579,G000.9455+00.7203,266.266821,-27.753742,0.3,0.3,90.0,13.201,13.021,11.576,,0.066,0.079,0.216,,C,1.472,0.08882,1.112,0.08076,2.694,0.5352,,,00006640,00004600,00008000,,0.130397
