ALPHA_J2000   DELTA_J2000   MAG_AUTO_J   MAGERR_AUTO_J   MAG_AUTO_H   MAGERR_AUTO_H   MAG_AUTO_Ks   MAGERR_AUTO_Ks   MAG_PSF_J   MAGERR_PSF_J   MAG_PSF_H   MAGERR_PSF_H   MAG_PSF_Ks   MAGERR_PSF_Ks   MAG_APER_J   MAGERR_APER_J   MAG_APER_H   MAGERR_APER_H   MAG_APER_Ks   MAGERR_APER_Ks   TILE_ID   ra          dec          J_auto_Oct   A_Ks   Separation            
  176.66262     -64.18944     16.68361     0.05455         15.506       0.03692         15.23062      0.06805          16.67196    0.03091        16.18322    0.02195        16.04818     0.04656         16.67473     0.03632         16.03851     0.0234          15.96943      0.05316          d001      176.66261   -64.189441   16.68        0.79   0.01608239571399522   
  176.68401     -64.15816     16.35844     0.04412         15.83734     0.03541         14.99289      0.06668          16.24029    0.02316        15.89498    0.01782        15.8021      0.03832         16.32407     0.02836         15.91942     0.02162         15.79664      0.04633          d001      176.684     -64.158161   16.36        0.81   0.01609963806927016   
  176.92724     -64.25364     14.42613     0.02056         14.1054      0.01439         13.89245      0.03058          16.17963    0.02127        15.40329    0.01214        15.15695     0.02258         16.00800     0.02225         15.26675     0.01273         15.10492      0.02558          d001      176.92723   -64.253641   14.43        0.82   0.016046995816153972  
  176.9589      -63.33489     15.29371     0.06749         14.6565      0.03893         14.50467      0.06254          16.41096    0.06462        15.86372    0.03257        15.6327      0.04971         16.11029     0.06235         15.63549     0.03274         15.44866      0.05222          d001      176.95889   -63.334891   15.29        1.29   0.016552129209824105  
  177.23644     -63.20915     14.98776     0.06345         14.59587     0.03185         14.56371      0.0622           15.94253    0.04303        15.46133    0.0226         15.47397     0.04306         16.11749     0.05933         15.36833     0.025           15.39335      0.04868          d001      177.23643   -63.209151   14.99        1.27   0.016621010282236406  
  177.27619     -63.62163     13.75233     0.01484         12.8038      0.00845         12.83725      0.01649          14.66077    0.01270        13.86456    0.00579        13.70758     0.0094          14.52138     0.01276         13.83303     0.00623         13.66798      0.01026          d001      177.27618   -63.621631   13.75        1.13   0.01639482131577348   
  177.44948     -63.57002     14.65110     0.04410         13.66091     0.02861         14.05166      0.04429          15.87036    0.03703        15.66224    0.02558        15.05024     0.02899         15.80596     0.04248         15.61792     0.03014         14.93933      0.03182          d001      177.44947   -63.570021   14.65        1.24   0.01642315835345867   
  177.46366     -63.2836      16.82186     0.15463         14.71143     0.0506          14.8268       0.08252          16.96765    0.15066        15.95654    0.04191        15.60325     0.05463         17.14034     0.19070         16.02938     0.0546          15.58281      0.06515          d001      177.46365   -63.283601   16.82        1.4    0.01658023362276489   
  177.36949     -64.22095     16.06351     0.05981         14.96039     0.03003         14.87724      0.05157          16.86573    0.04384        15.94555    0.02103        15.78544     0.03705         16.85333     0.05129         15.84812     0.02318         15.67722      0.04113          d002      177.36948   -64.220951   16.06        0.77   0.016065022920578313  
  177.43665     -64.18654     16.45115     0.06938         15.00387     0.03401         15.09611      0.05728          17.14232    0.05126        16.20232    0.02519        15.95928     0.0417          16.99390     0.05407         16.04363     0.02637         15.84204      0.04628          d002      177.43664   -64.186541   16.45        0.73   0.0160839943807406    
