srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo_x,B_rgeo_xa,rpgeo,b_rpgeo_x,B_rpgeo_xa,Flag,angDist
204022801010157,268.62273960861,-29.875872478464,GALAXY,0.546,,,STAR,0.999,,,0.1844347060247159,-2.1404336682072276,4056478447961048576,268.6227630749,-29.8759754121,8125.94482,6441.92871,10674.6064,5847.34619,5153.38818,6422.77588,10033,0.377732
204022801010161,268.59381863807,-29.650673840159,GALAXY,0.672,,,,,,,0.3662606398270219,-2.005055231477345,4056503015213044352,268.5937196475,-29.65074372373,4291.77588,2821.33374,7758.01855,,,,10099,0.39901
204022801015154,268.67394139289,-29.613854525175,GALAXY,0.492,,,,,,,0.43324255272584805,-2.046588142287451,4056491779583081344,268.67400473852,-29.61400670614,6971.56738,4987.15527,9466.74902,5146.01562,3771.7229,6854.95801,10033,0.582621
204022801015160,268.65122722664,-29.736927287253,QSO,0.409,,,,,,,0.31695168677015784,-2.0916485657172634,4056483979879056896,268.65116603483,-29.73676524162,2171.10156,1019.07617,2928.59961,2158.65283,1542.15894,3100.89478,10033,0.613924
204024304010137,266.561089157044,-28.9965933143556,QSO,0.428,,,,,,,0.019493776944068026,-0.14806192645371125,4057475468755313536,266.56102918803,-28.99663924616,644.2052,485.428375,967.018555,863.455872,646.604248,4740.37256,10033,0.250993
204024304015196,266.422929755987,-28.8811050977206,GALAXY,0.531,,,,,,,0.05519066788318105,0.015284581269443556,4057489655033106176,266.42283336669,-28.8810715743,1405.18518,1304.71387,1510.15747,1386.21777,1293.63794,1490.63147,10033,0.326933
204024307015027,266.514974507796,-28.9299229435103,GALAXY,0.37,,,,,,,0.05545523797939109,-0.07892723353625414,4057488353664892800,266.5149265547,-28.9299467515,650.125244,643.638428,657.881104,650.034058,641.225525,657.235474,10033,0.173706
204031106010002,272.53017833997,-25.855840565519,STAR,0.468,,,STAR,1.0,,,5.388983705282519,-3.1674110924381558,4064842505972330112,272.53004032913,-25.85572862131,4931.4585,3782.37476,6239.40234,,,,10099,0.601921
204031106010004,272.31854336351,-25.907268935941,STAR,0.476,,,,,,,5.252058328228371,-3.0252629780467575,4064839688418298240,272.31864450432,-25.90741536747,5120.05664,3458.51709,7136.0957,6222.42383,4835.00488,7147.34814,10033,0.62061
204031106010008,272.46949626369,-25.777251498304,GALAXY,0.543,,,,,,,5.431684112306448,-3.0817239424998877,4064845353654932096,272.46954873649,-25.77726583853,5739.69824,3560.64087,7696.62451,5739.09619,4773.83105,6659.04883,10033,0.177766
204031106010009,272.40365062803,-25.998197567372,QSO,0.542,,,STAR,1.0,,,5.209169590740138,-3.136122826542958,4064835251816371328,272.40382898425,-25.99812688917,1290.99658,1179.21326,1448.88989,1239.4364,1142.54431,1350.85657,10033,0.63071
204031106010017,272.511080914558,-26.0265622347655,GALAXY,0.413,,,STAR,0.955,,,5.230775503261342,-3.2344111972682374,4064822680393434496,272.51088638952,-26.02657252022,4143.70703,3170.54517,5277.88037,3930.97705,3146.06299,4582.11523,10033,0.630363
204031106010022,272.50991399237,-25.879480948872,GALAXY,0.473,,,,,,,5.3594435780933924,-3.1627866436270846,4064842299864238080,272.50981915983,-25.87961857659,3896.76001,2340.87134,5476.96387,6865.41064,5476.91699,8665.9502,10033,0.582947
204031106010024,272.39317141969,-25.759846755214,QSO,0.688,,,,,,,5.413828904591568,-3.013098102514988,4064847041458583936,272.3932681776,-25.75971825593,879.596252,820.377747,938.736267,891.203491,845.5672,949.385681,10033,0.558938
204031106010026,272.41464183147,-25.790271862744,STAR,0.583,,,,,,,5.3964488410271905,-3.0446936454515416,4064846766582231296,272.41447220738,-25.79015961004,1255.43298,1081.35669,1464.81641,1285.62195,1127.29688,1474.45081,10033,0.682355
204031106010036,272.49311936128,-25.887142857919,QSO,0.671,,,,,,,5.345439004520082,-3.1532221061172265,4064842334173646464,272.49303912415,-25.8870822173,5444.45068,3515.43408,7662.59814,5416.35352,4153.2666,7009.06396,10033,0.339396
204031106010044,272.32607279,-25.948999850123,GALAXY,0.503,,,,,,,5.218709735357189,-3.0513075293096215,4064836321216673920,272.32623676461,-25.94908988137,2394.75928,1782.77417,3215.86401,1814.23315,1630.57471,2042.58325,10033,0.621927
204031106010055,272.18216792322,-25.74529026601,GALAXY,0.491,,,,,,,5.334824309476097,-2.8395929092691023,4064889819347953408,272.18206239274,-25.74542134018,2180.06909,2012.15173,2328.49951,2238.6355,2070.83667,2425.40991,10033,0.582887
204031106010062,272.30375633779,-25.861165561305,QSO,0.554,,,STAR,1.0,,,5.286086246129892,-2.991383841283587,4064840409973271808,272.30355786738,-25.86119736519,1108.71594,523.721375,1797.58569,,,,11099,0.653054
204031106010065,272.38487131685,-25.780094903071,GALAXY,0.627,,,,,,,5.392454308310511,-3.0162993381930323,4064847002757762432,272.38486406522,-25.78000938411,249.770493,233.441711,267.058258,253.010437,236.241806,267.019531,10133,0.308764
204031106010073,272.20242256526,-25.833307019099,GALAXY,0.627,,,STAR,1.0,,,5.266467649179512,-2.8980618691726283,4064887994025778688,272.20251657993,-25.83331538895,1262.67664,1132.4469,1401.1499,1340.67139,1169.73157,1506.59216,10033,0.306116
204031106010074,272.4906613396,-25.772718842085,QSO,0.534,,,,,,,5.444845319035227,-3.0962528396125824,4064845323418779520,272.4908422074,-25.77261943516,7161.51709,5390.86133,8883.46973,7980.18799,5818.01172,9686.5127,10033,0.686934
204031106010082,272.39345469686,-25.874990855295,GALAXY,0.66,,,STAR,1.0,,,5.312895570013173,-3.068770014251527,4064843085846460032,272.39349845365,-25.87496883062,5720.29785,4029.81201,8242.38281,,,,10099,0.162403
204031106015108,272.55050635251,-25.763130357909,QSO,0.864,,,,,,,5.47921551979655,-3.1388990934395498,4064845559802398336,272.55039150756,-25.76327888957,5907.05322,3896.85205,7776.08057,4757.79834,3881.72119,5853.42188,10033,0.651583
204044304010002,274.76163186527,-28.624068797984,GALAXY,0.967,,,,,,,3.8800634347805367,-6.22302008458487,4051352181197100288,274.76155154212,-28.62420460955,6752.04443,4821.37109,8552.73535,,,,10099,0.550881
204044304010008,274.95385526159,-28.52524585655,GALAXY,0.63,,,,,,,4.046751335779529,-6.326989824275275,4051375928075050112,274.95391120993,-28.52525865065,6834.77344,5056.27588,8550.19336,,,,10099,0.182859
204053902010002,267.65537078543,-20.095510022719,GALAXY,0.672,,,,,,,8.16597182646031,3.584904405102425,4119013382259789312,267.65550369327,-20.09545388415,5907.41943,3862.43677,8169.15039,,,,20099,0.492697
204053902010006,267.65727686783,-20.041352389905,QSO,0.511,,,STAR,1.0,,,8.21358226915432,3.6109510379322822,4119015821865800576,267.65737224523,-20.0414693303,211.243515,210.402222,212.086395,211.520874,210.744232,212.2556,10033,0.530356
204053902010008,267.94325504458,-20.319360242634,QSO,0.816,,,GALAXY,0.939,,,8.110582033115431,3.238435854685086,4118815538920061056,267.94317892184,-20.31939124201,6449.90283,4220.65869,8873.77539,5772.41211,4636.81104,7134.30908,10033,0.280174
204056002010004,274.54532006936,-30.349191071361,STAR,0.46,,,,,,,2.252824653568764,-6.853855352928515,4049416254832834688,274.54540221393,-30.34919603419,6517.09229,5780.89795,7392.50928,6429.96582,5485.31543,7220.80273,10033,0.25582
204056002010021,274.56021253017,-30.644897432927,GALAXY,0.796,,,,,,,1.9945316057850664,-7.001714347470496,4049360901314299136,274.56019030318,-30.64502616833,1430.22253,803.151855,2195.46411,,,,10099,0.468533
204056003010007,274.24335664937,-25.95916720372,QSO,0.437,,,,,,,6.031902565587007,-4.572365376713222,4053051923103367936,274.24326437702,-25.95912077366,6573.88623,4669.61816,8500.74902,5665.98633,4880.93848,6713.93164,10033,0.342257
204056003010010,274.27983190761,-25.895076736381,QSO,0.561,,,,,,,6.104121072795225,-4.57121761334245,4053052580234996736,274.27973239352,-25.89510892753,5999.6582,4239.76611,7846.69385,5690.88184,4845.51953,6587.80371,10033,0.342483
204056003010017,273.99019641387,-25.907873879179,GALAXY,0.67,,,GALAXY,0.9,,,5.969819381762501,-4.347348767172818,4064689605131270144,273.99016808457,-25.90803726738,7556.56104,5907.19922,9743.45605,5825.21387,4935.66699,8899.04785,10033,0.595308
204056003010029,274.2142325274,-25.881994949216,GALAXY,0.732,,,,,,,6.087886569087059,-4.51297557918148,4065062094732433152,274.21435043838,-25.88203499444,6272.55762,4090.61938,8717.7168,5545.05127,4741.95459,6783.9375,10033,0.408206
204057502010003,271.381062812296,-21.492569510561,STAR,0.782,,,STAR,1.0,,,8.69530088685881,-0.13018626642750905,4070020793366063232,271.38108510718,-21.49266087177,119.114983,118.900482,119.356644,119.168358,118.879005,119.440887,10033,0.337272
204057502010014,271.24672174369,-21.45255975426,GALAXY,0.547,,,,,,,8.668987748181738,-0.0015876196054097785,4070067522601272704,271.24680520776,-21.45270778288,3900.01904,2450.01782,6555.02246,3100.06812,2396.36157,4307.59912,10033,0.601824
204057502010035,271.600634204373,-21.3505381601203,QSO,0.526,,,,,,,8.919091898986787,-0.2391431342249834,4070046936817868160,271.60066554704,-21.35070977301,1422.01172,1355.69373,1504.2572,1412.9093,1334.0105,1493.99548,10033,0.626681
204057502010063,271.210033595343,-21.1992697668855,QSO,0.576,,,STAR,1.0,,,8.873037682668972,0.15231993333099272,4070110850243910656,271.21009421329,-21.19911397816,2429.2771,2202.86597,2701.78418,2254.00073,2052.92627,2461.80518,10033,0.596603
204105804010025,267.4226091321,-28.5042487373578,STAR,0.664,,,,,,,0.8313657381061835,-0.5402154457493634,4057422554837207552,267.42264586781,-28.50412392952,800.221375,791.147949,809.487244,798.400024,788.274109,806.773193,10033,0.464095
204105804010035,267.324766529835,-28.3011309973876,STAR,0.571,,,,,,,0.9613354731436229,-0.36196590014894053,4057616378056638464,267.3246894881,-28.30121539326,639.500793,632.117493,645.880005,637.20874,628.839844,644.670105,10033,0.389798
204105804010050,267.621953715123,-28.4349579591287,QSO,0.444,,,,,,,0.9807605252407349,-0.6550768487496623,4057421764563710976,267.62181832291,-28.43481286965,289.291046,284.358276,295.051117,289.436798,285.138336,293.671783,10033,0.675668
204105804010059,267.438835261803,-28.2100292035235,GALAXY,0.511,,,STAR,1.0,,,1.0911341750951744,-0.4013127012974695,4057618645799698304,267.43890822671,-28.21018595192,527.680481,520.369751,536.795349,526.156555,519.013184,532.977356,10033,0.609924
204105804010064,267.402390942885,-28.5760896252669,QSO,0.777,,,STAR,1.0,,,0.760604989325025,-0.5618939447166988,4057416159555917184,267.40245396249,-28.57599277373,4833.60596,3605.47729,6903.6084,4178.36523,3111.33325,5736.46729,10033,0.401574
204105805010010,267.4146785724,-28.320074716468,GALAXY,0.867,,,,,,,0.9857895290682034,-0.43959851331042454,4057614625697868160,267.41471208278,-28.32007788577,1852.95593,960.30249,2574.46094,,,,10099,0.10681
205021703010009,271.963741906567,-20.382288370833,STAR,0.434,STAR,1.0,STAR,1.0,STAR,1.0,9.930002536317433,-0.06395510047552144,4094183450428292096,271.96392360106,-20.38232082466,196.471634,191.394745,201.343811,195.436752,191.605774,200.952347,10033,0.624179
205023702010022,268.995749821472,-21.9819197426911,QSO,0.513,,,,,,,7.1713726310165065,1.5511249307732762,4070354456476526208,268.99590219935,-21.98191822601,461.385803,438.331085,490.746368,437.803192,421.899048,457.580688,10033,0.50871
205023702010043,269.058550477087,-21.7624681132158,GALAXY,0.616,,,STAR,1.0,,,7.3904663030345885,1.6110422989603594,4070393630902670336,269.05872307386,-21.7625454928,6010.30225,4115.32568,8855.69727,8869.89453,6261.12598,13822.2842,10033,0.640782
205023702010065,269.07923286226,-21.832926288624,QSO,0.527,,,STAR,1.0,,,7.339171006887081,1.5590428854763458,4070368921926962176,269.07935341133,-21.83297947093,8961.92383,6201.81592,12031.1191,7681.80762,5851.50049,9484.17871,10033,0.44603
205023702010066,269.25699141147,-21.931052661537,QSO,0.615,,,,,,,7.3370663864167245,1.3671226007835942,4070375969997756544,269.25707383573,-21.93097978578,5408.57568,3667.50195,6970.12549,6899.64355,4809.97461,10271.376,10033,0.380255
205023702010075,269.09899644004,-21.985782503234,STAR,0.547,,,STAR,1.0,,,7.216161724792718,1.466411887710975,4070354937511226880,269.09917262867,-21.985719904,1887.64917,1806.7583,1996.38123,1944.68213,1858.21655,2052.48169,10033,0.629848
205023702010091,269.06176248581,-22.07620838145,QSO,0.401,,,,,,,7.120604308139762,1.450828791502557,4070352601050184832,269.06176086216,-22.07619887324,4289.31592,3345.62549,5835.46973,5209.27832,4275.42236,6274.31592,10033,0.034655
205023702010103,268.90955621173,-21.92432375226,GALAXY,0.735,,,,,,,7.18093460181696,1.6491909017792143,4070367208255724288,268.90973945637,-21.9243875772,5590.44922,3114.64136,9009.79004,6801.47461,5299.94629,8503.44531,20033,0.653684
