srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,srcid_x,RAJ2000,DEJ2000,iauname,PriOrSec,mClass,Zmag3,e_Zmag3,Zperrbits,Ymag3,e_Ymag3,Yperrbits,Jmag3,e_Jmag3,Jperrbits,Hmag3,e_Hmag3,Hperrbits,Ksmag3,e_Ksmag3,Ksperrbits,angDist
206946411010150,266.274461832017,-28.78237888384,GALAXY,0.629,,,,,,,0.07161333608640376,0.17774608788815394,515534751945,266.274595,-28.782449,VVV J174505.90-284656.81,0,-1,17.427,0.022,16,16.77,0.023,0,16.235,0.02,0,15.497,0.056,16,,,0,0.490072
206946411010175,266.39311638638,-28.757288923797,QSO,0.59,,,,,,,0.14726519545976635,0.10208915861892438,515535849151,266.393274,-28.757278,VVV J174534.38-284526.20,0,-2,,,0,,,0,,,0,16.245,0.112,16,14.56,0.082,16,0.49816
206946411010199,266.55248693857,-28.865472253361,GALAXY,0.709,,,STAR,1.0,,,0.12758384322477634,-0.07345631970402672,515535051891,266.55259,-28.8654,VVV J174612.62-285155.43,0,-2,,,0,18.716,0.127,0,15.052,0.008,16,11.864,0.002,16,10.487,0.002,16,0.417661
206946412010060,266.59806996796,-28.760006358988,QSO,0.482,,,,,,,0.23844274192535736,-0.052754541922900744,515512737836,266.598066,-28.760077,VVV J174623.53-284536.27,0,-1,,,0,,,0,,,0,17.194,0.259,0,14.513,0.063,0,0.255085
206946412010088,266.66248337364,-28.613920907583,GALAXY,0.696,,,,,,,0.39262667365238546,-0.025162434635892184,515512706037,266.662626,-28.613869,VVV J174639.03-283649.92,0,-1,,,0,,,0,,,0,15.377,0.049,0,13.621,0.028,0,0.487106
206946412010090,266.72259176278,-28.660339808431,GALAXY,0.512,,,,,,,0.38032650999310114,-0.09434741376528957,515511384543,266.722645,-28.660243,VVV J174653.43-283936.87,0,-1,18.423,0.059,16,17.705,0.052,16,16.761,0.041,16,15.938,0.082,16,15.469,0.154,0,0.387141
206946412010129,266.67055646626,-28.849397426977,GALAXY,0.866,,,STAR,0.611,,,0.1950440820699263,-0.15346105478153366,515536067553,266.670667,-28.849301,VVV J174640.96-285057.48,0,-1,,,0,,,0,,,0,16.3,0.119,4112,14.999,0.121,4112,0.493776
206946412015101,266.63698438807,-28.66735121639,GALAXY,0.501,,,,,,,0.33534386836336755,-0.033782128670226855,515512678533,266.637071,-28.667371,VVV J174632.89-284002.53,0,-1,,,0,,,0,,,0,15.126,0.039,16,12.974,0.015,16,0.28292
206946413010092,266.81535762267,-28.53212388603,QSO,0.629,,,STAR,1.0,,,0.5321926914517959,-0.09752690442169844,515512565604,266.81526,-28.532126,VVV J174715.66-283155.65,0,-3,,,0,,,0,,,0,15.247,0.044,16,13.948,0.038,16,0.308068
206946413010103,266.76924026084,-28.494894430029,GALAXY,0.675,,,,,,,0.5430305432450877,-0.04357571823313748,515512946366,266.769146,-28.494934,VVV J174704.59-282941.76,0,-1,,,0,,,0,,,0,13.889,0.013,16,10.162,0.002,65552,0.331287
206946413010113,266.9758104572,-28.626565058419,GALAXY,0.536,,,STAR,1.0,,,0.5243022212065083,-0.26696830968662677,515511717771,266.975739,-28.626666,VVV J174754.17-283735.99,0,-1,9.19,0.001,65552,9.105,0.001,65552,8.943,0.001,65552,8.98,0.001,65552,8.813,0.002,65552,0.428376
206946413010115,266.62934513526,-28.558030907685,GALAXY,0.65,,,,,,,0.4252787818815082,0.028728804741277918,515512893122,266.629369,-28.558147,VVV J174631.04-283329.33,0,-1,,,0,,,0,,,0,16.975,0.212,0,15.491,0.156,0,0.425899
206946413010129,266.80652520429,-28.370007185961,GALAXY,0.714,,,,,,,0.6668281807318573,-0.006887873308534679,515512825481,266.806574,-28.370132,VVV J174713.57-282212.47,0,1,,,0,,,0,,,0,17.128,0.238,0,15.438,0.144,0,0.474135
206946413010134,266.85970885001,-28.672973653911,QSO,0.546,,,,,,,0.4318742219952296,-0.20378674373848507,515512124487,266.859727,-28.673053,VVV J174726.33-284022.98,0,-1,,,0,,,0,18.574,0.212,0,16.663,0.162,0,15.812,0.213,0,0.289842
206946413010136,266.69292328071,-28.374588686255,QSO,0.478,,,STAR,1.0,,,0.6110774876784177,0.07620261770064189,515512963887,266.692822,-28.374649,VVV J174646.27-282228.73,0,-2,,,0,,,0,,,0,,,0,14.468,0.059,16,0.386937
206946413010188,266.96939361986,-28.605491842773,GALAXY,0.617,,,,,,,0.5394290036270649,-0.25125219047450664,515511482708,266.969334,-28.605618,VVV J174752.64-283620.22,0,-1,10.494,0.001,65552,9.935,0.001,65552,10.994,0.001,16,,,0,10.688,0.002,16,0.49142
206946414010015,267.121449965985,-28.3154308096147,QSO,0.595,,,,,,,0.8568542193324007,-0.2159178415027549,515511317956,267.121554,-28.315435,VVV J174829.17-281855.56,0,-1,13.763,0.002,16,13.508,0.002,16,13.112,0.002,16,12.792,0.005,16,12.509,0.01,16,0.328929
206946414010050,266.81583417112,-28.166025742692,GALAXY,0.572,,,,,,,0.8455425382598725,0.09178762097585177,515512805233,266.815813,-28.166148,VVV J174715.79-280958.13,0,1,,,0,,,0,,,0,15.46,0.052,16,13.982,0.038,16,0.443835
206946414010051,267.05528636944,-28.381131857007,GALAXY,0.765,,,,,,,0.770525630832776,-0.19995765935229642,515512302764,267.055376,-28.381024,VVV J174813.29-282251.68,0,-1,,,0,,,0,17.364,0.07,0,15.034,0.036,0,13.798,0.032,0,0.482029
206946414010088,267.07398271981,-28.468049748862,QSO,0.84,,,STAR,1.0,,,0.7045790398002726,-0.25891687908629735,515511493082,267.07405,-28.468006,VVV J174817.77-282804.82,0,-1,9.807,0.001,65552,10.716,0.001,16,10.905,0.001,16,9.106,0.001,65552,8.859,0.001,65552,0.265329
206946414010108,266.87629646102,-28.329926882538,GALAXY,0.356,,,,,,,0.7329156474140508,-0.03865615388713368,515511487713,266.876379,-28.330041,VVV J174730.33-281948.14,0,-1,16.833,0.016,0,16.223,0.015,16,15.537,0.014,16,14.937,0.032,0,14.612,0.068,0,0.485831
206946415010132,267.08161167531,-28.182316190139,GALAXY,0.539,,,STAR,1.0,,,0.9527622733847091,-0.11716165979910241,515513033417,267.081572,-28.182348,VVV J174819.57-281056.45,0,-1,,,0,,,0,,,0,,,0,15.472,0.149,16,0.171433
206946415015122,266.91827048457,-28.070477795986,GALAXY,0.647,,,STAR,1.0,,,0.974063163006394,0.06396017116424815,515511556038,266.918269,-28.070389,VVV J174740.38-280413.40,0,-1,11.626,0.001,16,11.538,0.001,65552,11.298,0.001,65552,11.188,0.002,65552,11.006,0.003,65552,0.319748
206946416010020,267.29960314594,-27.772805612948,GALAXY,0.507,,,,,,,1.4029117473820865,-0.07104563447962221,515512096852,267.299472,-27.772791,VVV J174911.87-274622.04,0,-2,,,0,,,0,18.444,0.193,0,15.553,0.057,0,14.071,0.041,0,0.421372
206946416010045,267.27774547989,-27.706731756353,QSO,0.489,,,,,,,1.449599934568787,-0.02044701125806949,515511575763,267.277697,-27.706719,VVV J174906.64-274224.18,0,-1,14.439,0.003,0,14.154,0.003,16,13.653,0.003,16,,,0,,,0,0.160443
206946416010080,267.34689226932,-27.646138563609,GALAXY,0.645,,,,,,,1.5330663722918412,-0.04176970275845177,515511986050,267.347001,-27.646049,VVV J174923.28-273845.77,0,-1,,,0,,,0,15.945,0.02,16,13.593,0.01,16,12.364,0.009,16,0.471652
206946416010085,267.34275084962,-27.648254204336,GALAXY,0.607,,,,,,,1.5293650303383928,-0.03971195226529734,515513112139,267.342885,-27.648236,VVV J174922.29-273853.64,0,-1,,,0,,,0,,,0,,,0,13.002,0.015,16,0.431327
206946416010090,267.21822031543,-27.691547175305,GALAXY,0.473,,,,,,,1.435470042131467,0.03254910929125074,515512239392,267.218234,-27.691518,VVV J174852.37-274129.46,0,-1,,,0,,,0,17.541,0.084,16,15.397,0.049,16,14.314,0.051,16,0.114644
206946416010127,267.18170176569,-27.704482764656,GALAXY,0.442,,,,,,,1.4077201918898574,0.05359086443210682,515511935906,267.181688,-27.704369,VVV J174843.60-274215.72,0,-1,,,0,19.373,0.236,0,15.265,0.011,16,12.316,0.003,16,10.877,0.002,16,0.411147
206946416010136,267.17559196255,-27.697729243689,GALAXY,0.668,,,,,,,1.4107182195389392,0.061707813089201424,515513088994,267.175466,-27.697747,VVV J174842.11-274151.88,0,-1,,,0,,,0,,,0,,,0,15.006,0.097,16,0.406611
206946416010150,267.20946974175,-27.722138963898,GALAXY,0.679,,,,,,,1.405260388391087,0.023424750275186066,515513026824,267.209334,-27.722159,VVV J174850.24-274319.77,0,1,,,0,,,0,,,0,,,0,15.333,0.131,0,0.437833
206946416010184,267.1216526169,-27.74995920798,GALAXY,0.433,,,,,,,1.3413451429332375,0.07567702713125883,515511354527,267.121702,-27.749959,VVV J174829.20-274459.85,0,1,19.808,0.213,0,18.703,0.128,16,17.085,0.056,16,,,0,,,0,0.157866
206946416010241,267.00457496576,-27.597673534483,QSO,0.739,,,STAR,1.0,,,1.4182231599929291,0.24310236678947644,515512406330,267.004644,-27.597758,VVV J174801.11-273551.92,0,-1,,,0,,,0,18.159,0.148,0,15.865,0.075,16,14.758,0.076,16,0.375201
206946416015127,267.0265282641,-27.750435327546,GALAXY,0.534,,,,,,,1.2974757702473785,0.14752834149967767,515512944627,267.026535,-27.750516,VVV J174806.36-274501.85,0,-1,,,0,,,0,,,0,16.743,0.167,0,14.781,0.079,0,0.291333
207009801010054,266.64017557687,-28.981452438845,GALAXY,0.451,,,,,,,0.06837645404077683,-0.1992999179209881,515534641764,266.640255,-28.981402,VVV J174633.66-285853.04,0,-1,17.688,0.027,4096,17.189,0.033,4096,16.789,0.032,4096,16.158,0.104,4096,15.827,0.258,4096,0.307905
207019814010006,276.36438250185,-24.96757888208,STAR,0.538,,,,,,,7.806027724526364,-5.8087189039698615,515452352504,276.364309,-24.967677,VVV J182527.43-245803.63,0,-1,18.131,0.087,16,17.663,0.075,16,17.188,0.076,16,16.589,0.087,16,16.563,0.144,0,0.425144
207019814010010,276.24232212741,-24.976896776286,QSO,0.861,,,,,,,7.746706999702315,-5.714662556727157,515451909689,276.242365,-24.976814,VVV J182458.16-245836.52,0,-1,19.281,0.244,0,19.031,0.261,0,18.439,0.242,0,,,0,,,0,0.330001
207019814010027,276.2526435459,-24.891214172644,QSO,0.573,,,,,,,7.82752760092943,-5.6836536466911545,515452346661,276.252705,-24.891228,VVV J182500.64-245328.41,0,-1,18.769,0.155,0,18.396,0.146,0,18.122,0.178,0,,,0,,,0,0.207239
207019814010033,275.97578853562,-24.971679873984,STAR,0.382,,,STAR,1.0,,,7.639755407678839,-5.4976969209543,515451657621,275.975651,-24.971666,VVV J182354.15-245817.99,0,1,18.071,0.08,16,17.692,0.078,16,17.106,0.071,16,16.481,0.072,16,16.403,0.122,0,0.453078
207019814010039,276.1686554004,-24.76725418915,QSO,0.542,,,,,,,7.90299001562462,-5.559008861593409,515451513521,276.168579,-24.767237,VVV J182440.45-244602.05,0,1,17.916,0.071,16,17.604,0.071,16,17.194,0.077,16,16.871,0.116,0,17.046,0.224,0,0.25651
207019815010007,276.38523152379,-24.922031186761,STAR,0.503,,,,,,,7.8554281449434615,-5.804652461311897,515451940554,276.385294,-24.921992,VVV J182532.47-245519.17,0,-1,18.894,0.174,0,18.625,0.18,0,18.107,0.177,0,17.811,0.266,0,17.205,0.26,0,0.24776
207019815010057,276.32953884711,-24.910327018147,GALAXY,0.855,,,,,,,7.84261555497658,-5.754396541212689,515452628829,276.329495,-24.910384,VVV J182519.07-245437.38,0,1,,,0,,,0,17.008,0.065,16,,,0,,,0,0.249367
207019815010058,276.31203706867,-24.917039337585,QSO,0.836,,,,,,,7.829304956758902,-5.743368533871241,515452203738,276.311985,-24.916956,VVV J182514.87-245501.04,0,-1,14.496,0.004,16,14.089,0.004,16,13.544,0.003,16,12.901,0.003,16,12.682,0.005,16,0.345194
207019815010064,276.38962680561,-24.872949573376,GALAXY,0.573,,,,,,,7.901114944492306,-5.785707897303184,515451513085,276.389633,-24.872938,VVV J182533.51-245222.57,0,-1,17.754,0.062,0,17.326,0.055,0,16.75,0.051,0,15.949,0.048,0,15.92,0.08,0,0.044628
207019815010065,276.29123290752,-24.826803939648,STAR,0.725,,,,,,,7.901185409203819,-5.685204110804722,515451513088,276.291143,-24.826825,VVV J182509.87-244936.56,0,-1,19.127,0.215,0,18.843,0.22,0,18.573,0.27,0,,,0,,,0,0.304112
207202802010001,267.16244421182,-23.588969254274,GALAXY,0.625,,,GALAXY,0.999,,,4.926860227468147,2.188909183431847,515435637763,267.16242,-23.588989,VVV J174838.98-233520.35,0,-1,,,0,,,0,16.869,0.123,16,15.758,0.087,16,14.423,0.035,16,0.106318
207202802010002,267.20589271557,-23.62714066269,STAR,0.917,,,,,,,4.9146024057429765,2.1351316531764493,515434773246,267.205842,-23.627218,VVV J174849.40-233737.98,0,-1,8.698,0.001,65552,8.606,0.001,65552,8.361,0.001,65552,8.093,0.001,65680,8.011,0.001,65552,0.324978
207202802010007,266.9964116888,-23.616648126142,QSO,0.592,,,,,,,4.82468304705921,2.3050531084072765,515434438334,266.996266,-23.61664,VVV J174759.10-233659.90,0,-1,13.051,0.002,16,12.685,0.002,16,12.058,0.002,65552,,,0,11.365,0.002,65552,0.480998
207202802010009,267.20691087812,-23.709442033905,GALAXY,0.425,,,,,,,4.844455610574907,2.0919980768432014,515435177071,267.207002,-23.709455,VVV J174849.68-234234.03,0,-1,15.321,0.013,16,14.81,0.012,16,14.068,0.01,0,13.249,0.009,0,12.948,0.009,0,0.303294
207202802010010,267.01109227382,-23.526553924316,GALAXY,0.537,,,,,,,4.9088853722765835,2.3399763361324815,515434982306,267.011204,-23.526591,VVV J174802.68-233135.72,0,-1,14.141,0.005,16,13.673,0.005,16,13.018,0.004,16,12.302,0.004,65552,12.029,0.004,0,0.392094
207202802010011,267.02247890379,-23.537979127606,STAR,0.842,,,STAR,1.0,,,4.904473164234518,2.325141022025285,515434533578,267.02248,-23.53793,VVV J174805.39-233216.54,0,-1,10.744,0.001,65552,10.513,0.001,65552,10.051,0.001,65552,9.457,0.001,65552,9.198,0.001,65552,0.17648
207202802010019,267.31365806682,-23.519307738724,QSO,0.621,,,,,,,5.057967462668103,2.10583144071354,515434978060,267.313553,-23.51927,VVV J174915.25-233109.37,0,-1,11.4,0.001,16,11.272,0.001,16,11.66,0.001,16,11.58,0.002,16,11.013,0.002,16,0.373655
207202802010027,267.02656613586,-23.45024818214,QSO,0.438,,,,,,,4.981649423230735,2.3671478784237516,515434608400,267.026606,-23.450347,VVV J174806.38-232701.24,0,-1,18.175,0.168,0,17.779,0.182,0,17.221,0.171,0,16.545,0.178,0,16.396,0.216,0,0.379203
207202802010055,267.15603134439,-23.522460398407,GALAXY,0.49,,,,,,,4.980901225517574,2.2281761204103514,515435134131,267.156001,-23.522426,VVV J174837.44-233120.73,0,1,18.163,0.167,0,17.593,0.155,0,16.721,0.108,0,15.794,0.09,0,15.501,0.093,0,0.158861
207202802010057,267.16818643347,-23.705004132728,QSO,0.601,,,STAR,1.0,,,4.830008387448568,2.1246848180865303,515435065932,267.168329,-23.705036,VVV J174840.39-234218.12,0,1,15.498,0.015,16,14.929,0.014,16,14.114,0.01,16,13.179,0.008,16,,,0,0.482462
207205404010048,271.030963356001,-24.5772766682796,GALAXY,0.962,,,,,,,5.848123216327028,-1.3608146632359346,515462104156,271.03094,-24.577234,VVV J180407.42-243438.04,0,-1,,,0,,,0,18.509,0.221,4096,17.467,0.279,4096,,,0,0.171997
207205404010062,270.732390811473,-24.3742869303564,GALAXY,0.524,,,,,,,5.891297959699522,-1.0243848487823792,515462396353,270.73225,-24.374299,VVV J180255.73-242227.47,0,1,,,0,,,0,,,0,17.386,0.259,0,15.998,0.147,0,0.46475
207205404010131,271.08961170507,-24.269976826821,GALAXY,0.963,,,,,,,6.142179839866485,-1.256600541323305,515440730188,271.08972,-24.269963,VVV J180421.53-241611.86,0,-1,19.195,0.096,0,17.777,0.052,0,16.019,0.02,16,14.461,0.015,16,13.69,0.016,16,0.359058
207205404010136,271.11951791553,-24.3702151253708,GALAXY,0.967,,,,,,,6.068160988208223,-1.3295005024671924,515460942554,271.119456,-24.370132,VVV J180428.66-242212.47,0,0,19.236,0.083,4198592,18.52,0.101,4198592,,,0,,,0,,,0,0.362292
207205404010152,270.94850517215,-24.403362014376,QSO,0.487,,,,,,,5.962820647503391,-1.2100553911486254,515461480710,270.948511,-24.403474,VVV J180347.64-242412.50,0,-1,20.1,0.218,4096,18.888,0.161,4096,17.817,0.12,4096,16.65,0.133,4096,16.082,0.159,4096,0.401866
207205404010221,270.914090376066,-24.356368130823,GALAXY,0.55,,,,,,,5.988353639884821,-1.1596635170122132,515462301127,270.913969,-24.356344,VVV J180339.35-242122.83,0,1,,,0,,,0,,,0,16.798,0.152,0,16.201,0.177,0,0.406539
