srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist
206530305010030,186.041059561929,-63.8891544605624,QSO,0.559,,,,,,,299.9361588862681,-1.176161555814337,12240972-6353213,186.0405,-63.889256,0.07,0.06,7.0,13.038,12.264,12.076,0.041,0.041,0.046,AAA,222,0,2451656.5175,0.958967
206530305010031,186.52028872696,-63.99127202844,QSO,0.402,,,,,,,300.15605445361376,-1.2562743856851915,12260507-6359278,186.521165,-63.991081,0.06,0.06,45.0,14.478,13.726,13.526,0.057,0.048,0.059,AAA,222,0,2451656.5271,1.544828
206530305010034,186.46756624664,-64.032580714064,GALAXY,0.447,,,STAR,0.99,,,300.13713751489917,-1.2996615259686666,12255241-6401574,186.468393,-64.032616,0.06,0.06,45.0,14.796,14.074,13.609,0.063,0.048,0.056,AAA,222,0,2451656.5239,1.309384
206530305010047,186.358058615387,-63.8433376174094,GALAXY,0.825,,,,,,,300.0703374828399,-1.1161747886738553,12252580-6350358,186.357506,-63.843281,0.06,0.06,45.0,12.215,11.594,11.439,0.033,0.036,0.039,AAA,222,0,2451656.5237,0.900363
206530305010048,186.63701699798,-64.053290275815,GALAXY,0.517,,,STAR,0.992,,,300.2129951975515,-1.3130182529501218,12263297-6403133,186.637376,-64.053703,0.06,0.06,45.0,14.59,13.492,13.056,0.051,0.042,0.051,AAA,222,0,2451656.5271,1.589773
206530305010053,186.07278190945,-64.134250448696,QSO,0.598,,,,,,,299.9758359814818,-1.4184254536119163,12241772-6408020,186.073838,-64.133896,0.07,0.06,7.0,14.838,13.851,13.394,0.049,0.049,0.056,AAA,222,0,2451656.5173,2.092689
206530305010055,186.522005278256,-63.9612178321607,GALAXY,0.503,,,STAR,0.937,,,300.15384977814415,-1.2262916639945447,12260538-6357405,186.522455,-63.961277,0.06,0.06,90.0,12.785,12.474,12.393,0.026,0.029,0.032,AAA,222,0,2451656.5271,0.741939
206530305010059,186.411711935816,-64.0562035860189,GALAXY,0.476,,,STAR,1.0,,,300.1151585203309,-1.3256003944663846,12253867-6403204,186.411143,-64.055687,0.06,0.06,90.0,11.467,11.162,11.118,0.033,0.034,0.037,AAA,222,0,2451656.5239,2.064327
206530305010062,186.223303590171,-63.93167636804,GALAXY,0.458,,,STAR,1.0,,,300.0203208339283,-1.2100939761957323,12245357-6355551,186.223215,-63.931973,0.07,0.06,0.0,14.276,13.545,13.257,0.036,0.034,0.039,AAA,222,0,2451656.5175,1.077032
206530305010069,186.54573263375,-63.972188629658,GALAXY,0.602,,,STAR,0.995,,,300.16529200810464,-1.2361881796421383,12261102-6358215,186.545918,-63.972656,0.06,0.06,90.0,13.629,12.645,12.336,0.029,0.026,0.03,AAA,222,0,2451656.5271,1.707824
206530305015033,186.59903784051,-64.13715373105,QSO,0.716,,,STAR,0.981,,,300.2045952801155,-1.3980938714160203,12262361-6408148,186.598404,-64.137459,0.06,0.06,135.0,15.0,13.871,13.405,0.088,0.065,0.068,AAA,222,0,2451656.527,1.482731
206530305015037,186.60040406141,-63.79560054427,STAR,0.706,,,,,,,300.1720322696361,-1.058095225112349,12262413-6347447,186.600583,-63.795757,0.08,0.08,45.0,13.559,13.264,12.912,,0.075,0.081,UAA,22,0,2451656.5273,0.630994
206530305015046,186.78597787604,-64.081999258496,QSO,0.767,,,GALAXY,0.973,,,300.28059565437786,-1.3353857832898983,12270859-6404540,186.785826,-64.081673,0.07,0.06,0.0,13.276,13.101,13.03,0.028,0.031,0.04,AAA,222,0,2451656.5336,1.198596
206530306010021,185.93435797679,-64.037251996975,STAR,0.498,,,STAR,1.0,,,299.90535542155635,-1.3284051736500475,12234401-6402128,185.933405,-64.036896,0.06,0.06,90.0,8.963,8.39,8.235,0.023,0.026,0.021,AAA,212,0,2451588.8772,1.974403
206530306010029,186.55790903039,-64.087919780654,GALAXY,0.509,,,STAR,1.0,,,300.1819218525049,-1.3508429620176297,12261365-6405163,186.556897,-64.087875,0.06,0.06,90.0,12.121,11.711,11.697,0.024,0.025,0.025,AAA,222,0,2451656.5271,1.600237
206530306010033,186.63245670676,-63.922975778622,GALAXY,0.58,,,STAR,1.0,,,300.1984227652341,-1.1835052689096515,12263173-6355215,186.632249,-63.922665,0.06,0.06,90.0,9.679,9.218,9.106,0.022,0.025,0.021,AAA,222,0,2451656.5272,1.166088
206530306010041,186.49279500436,-64.063745459451,QSO,0.768,,,GALAXY,0.999,,,300.1512101541821,-1.3295814005937072,12255842-6403483,186.493449,-64.063431,0.15,0.15,45.0,16.115,15.908,15.498,0.119,,,BUU,200,0,2451656.5239,1.530334
206530306010043,186.17982343757,-64.048015580432,GALAXY,0.7,,,STAR,1.0,,,300.013361147069,-1.327779836641911,12244281-6402530,186.178412,-64.048065,0.08,0.07,7.0,14.143,13.495,13.362,0.082,0.102,0.115,EAB,222,0,2451656.5174,2.230717
206530306010045,186.63043901975,-63.903668822287,GALAXY,0.607,,,STAR,0.695,,,300.1956746002953,-1.1643742335456122,12263141-6354141,186.630902,-63.903931,0.07,0.07,45.0,15.211,14.679,14.824,0.056,0.071,0.121,AAB,222,0,2451656.5272,1.195139
206530306010049,186.52930738909,-64.051003394453,QSO,0.696,,,STAR,0.889,,,300.16585530624235,-1.3153288895116035,12260717-6403058,186.529904,-64.05162,0.06,0.06,90.0,13.074,11.786,11.378,0.022,0.026,0.023,AAA,222,0,2451656.5271,2.41053
206530306015021,186.3873097546,-63.849309459995,QSO,0.683,,,GALAXY,0.965,,,300.0837685618714,-1.1208197416180579,12253271-6350591,186.386331,-63.849758,0.06,0.06,45.0,13.529,12.957,12.829,0.047,0.031,0.032,AAA,222,0,2451656.5237,2.240303
206530306015049,186.28719203053,-64.193929762091,QSO,0.796,,,,,,,300.0749838891191,-1.4681080694223578,12250903-6411384,186.287629,-64.194008,0.08,0.08,45.0,15.913,15.039,14.825,0.115,0.103,0.129,BAB,222,0,2451656.524,0.740467
206530307010012,186.41291342448,-64.04325513468,GALAXY,0.592,,,,,,,300.11438710890667,-1.3126642414084349,12253892-6402346,186.412171,-64.042946,0.08,0.08,135.0,14.667,13.96,13.355,0.07,0.079,,AAU,226,0,2451656.5239,1.614632
206530307010040,186.34371785126,-63.97794328459,QSO,0.577,,,STAR,0.999,,,300.0776467602494,-1.2507298212112001,12252214-6358397,186.342261,-63.977722,0.07,0.07,45.0,15.047,14.474,14.517,0.108,0.098,0.119,AAB,222,0,2451656.5238,2.434934
206530307010049,186.13381342908,-64.082300491752,GALAXY,0.548,,,STAR,0.932,,,299.9969054897211,-1.3639699933973386,12243217-6404574,186.134047,-64.082626,0.07,0.06,7.0,14.343,13.636,13.409,0.032,0.037,0.038,AAA,222,0,2451656.5173,1.22811
206530307010056,186.40698120512,-64.027694098557,GALAXY,0.74,,,,,,,300.1102457913083,-1.2974409125883366,12253772-6401400,186.407169,-64.027794,0.06,0.06,45.0,14.826,14.28,14.183,0.036,0.05,0.067,AAA,222,0,2451656.5239,0.465836
206530307010062,186.14685327429,-63.867468392856,QSO,0.629,,,,,,,299.98021571417814,-1.1497104529480722,12243500-6352027,186.145845,-63.867443,0.14,0.13,2.0,15.875,14.613,14.658,,,0.113,UUB,662,0,2451656.5175,1.601348
206530307010064,186.75695537373,-64.046930464686,QSO,0.658,,,STAR,0.751,,,300.26464389012625,-1.3016720576028429,12270161-6402474,186.756718,-64.046509,0.09,0.08,176.0,14.229,13.024,12.4,0.079,0.05,,AAU,226,0,2451656.5336,1.562683
206530307010070,186.47068900028,-63.790848094435,GALAXY,0.918,,,,,,,300.11454879071044,-1.0589822547390373,12255300-6347284,186.470839,-63.791241,0.07,0.07,45.0,15.426,15.001,14.888,0.074,0.098,0.136,AAB,222,0,2451656.5237,1.434425
206530307015050,186.51656963379,-63.852795227538,GALAXY,0.968,,,,,,,300.1408095689533,-1.1186292235834265,12260384-6351093,186.51603,-63.852592,0.13,0.12,72.0,16.086,15.186,15.151,0.115,,,BUU,200,0,2451656.5272,1.126134
206530307015065,186.42486734238,-63.889808973306,QSO,0.446,,,STAR,0.638,,,300.10428257129263,-1.1594611208053505,12254220-6353242,186.42586,-63.890057,0.11,0.11,45.0,13.767,12.504,12.206,0.029,,,AUU,266,0,2451656.5238,1.808508
206536404010006,196.13436604463,-63.84539731844,QSO,0.7,,,GALAXY,0.885,,,304.37506960392335,-1.0103617953222297,13043242-6350429,196.135117,-63.845261,0.06,0.06,0.0,12.632,12.373,12.238,0.022,0.022,0.019,AAA,222,0,2451594.8138,1.288758
206541101010001,245.715103376868,-49.7772058423351,STAR,0.684,,,,,,,333.9125030442652,-0.06479526565875185,16225165-4946377,245.715238,-49.777142,0.06,0.06,90.0,12.507,11.778,11.543,0.021,0.022,0.025,AAA,222,0,2451347.5405,0.38829
206541101010003,245.731131209117,-49.9434729562875,STAR,0.869,,,STAR,1.0,,,333.8018173045798,-0.18929523814954974,16225543-4956369,245.730992,-49.943596,0.06,0.06,45.0,9.295,8.883,8.818,0.022,0.024,0.023,AAA,222,0,2451347.5404,0.547929
206541101010004,245.66596714475,-49.8536292750737,QSO,0.506,,,,,,,333.83595128361327,-0.09618958594828017,16224006-4951120,245.666918,-49.85334,0.06,0.06,90.0,13.389,12.673,12.541,0.03,0.032,0.034,AAA,222,0,2451347.5405,2.440367
206541101010006,245.484596562121,-49.9841379552181,QSO,0.681,,,STAR,0.996,,,333.66107844792504,-0.10564899011349839,16215629-4959027,245.484565,-49.984108,0.06,0.06,90.0,10.961,9.787,9.161,0.024,0.026,0.025,AAA,222,0,2451347.5342,0.130257
206541101010009,245.857342864821,-49.8402014014205,STAR,0.61,,,STAR,1.0,,,333.9324027272839,-0.17433249694159988,16232565-4950241,245.856905,-49.840054,0.13,0.13,90.0,10.896,10.315,9.906,,,0.046,UUA,1,0,2451761.4698,1.146761
206541101010011,245.608559560189,-49.9503102786485,STAR,0.541,,,STAR,1.0,,,333.74134657960286,-0.13819473344832262,16222598-4957009,245.608272,-49.950268,0.06,0.06,90.0,8.608,8.587,8.504,0.026,0.042,0.023,AAA,112,0,2451347.5404,0.68328
206541101010012,245.968473403483,-49.9516850732032,STAR,0.466,,,STAR,1.0,,,333.90342580092556,-0.30361423966155204,16235244-4957060,245.968525,-49.951683,0.06,0.06,90.0,12.699,12.141,12.003,0.04,0.031,0.035,AAA,222,0,2451347.5501,0.119749
206541101010015,245.65416300251,-49.814203722907,GALAXY,0.702,,,,,,,333.85853043540374,-0.06298527855249628,16223718-4948527,245.65495,-49.814651,0.06,0.06,45.0,15.241,13.431,12.596,0.064,0.054,0.035,AAA,222,0,2451347.5405,2.436166
206541101010016,245.986159168394,-49.9164968747083,QSO,0.659,,,STAR,1.0,,,333.936470979647,-0.2870056683905332,16235660-4955000,245.98584,-49.916691,0.06,0.06,90.0,13.379,12.819,12.693,0.033,0.034,0.034,AAA,222,0,2451347.5501,1.017726
206541101010017,245.615762194231,-50.014629694759,GALAXY,0.647,,,STAR,1.0,,,333.69904729968397,-0.18686939879686223,16222780-5000524,245.615851,-50.014561,0.06,0.06,90.0,12.262,10.727,10.088,0.024,0.022,0.025,AAA,222,0,2451347.5404,0.3215
206541101010018,245.787416484873,-49.9665986555665,STAR,0.669,,,,,,,333.81090894760024,-0.2312898131415314,16230896-4957595,245.787364,-49.966553,0.06,0.06,90.0,14.038,13.454,13.258,0.028,0.036,0.029,AAA,222,0,2451761.4698,0.204414
206541101010020,245.685025246519,-49.8058159846971,QSO,0.485,,,STAR,1.0,,,333.8785224239577,-0.07119065974708995,16224431-4948212,245.684666,-49.805901,0.06,0.06,45.0,13.668,12.314,11.85,0.032,0.031,0.034,AAA,222,0,2451347.5405,0.889005
206541101010021,245.984436961093,-49.8111720804904,STAR,0.716,,,,,,,334.01067888142444,-0.21225383012087484,16235631-4948408,245.984663,-49.811344,0.11,0.11,45.0,11.76,10.392,8.853,0.029,,,AUU,200,0,2451347.5502,0.811661
206541101010022,245.847142936772,-49.8580876086087,STAR,0.663,,,,,,,333.91506393855855,-0.18224083596160529,16232326-4951303,245.846953,-49.858444,0.06,0.06,90.0,11.416,10.03,9.403,0.035,0.042,0.057,AAA,222,0,2451761.4698,1.356624
206541101010024,245.91421503239,-49.6637873291405,QSO,0.655,,,STAR,1.0,,,334.08367554825844,-0.07641028199913406,16233941-4939497,245.914223,-49.663822,0.08,0.08,45.0,13.15,12.65,11.852,0.033,0.048,,AAU,220,0,2451761.47,0.126188
206541101010026,245.74494069287,-49.7696806848215,GALAXY,0.485,,,,,,,333.93142056028154,-0.073165539069336,16225873-4946109,245.744734,-49.769714,0.08,0.08,45.0,15.12,14.347,13.58,0.073,0.08,,AAU,220,0,2451347.5405,0.495321
206541101010028,245.929149196823,-49.9187719565602,STAR,0.624,,,STAR,1.0,,,333.909064725256,-0.26247872186234456,16234303-4955075,245.929311,-49.918774,0.06,0.06,45.0,9.613,9.39,9.302,0.022,0.025,0.02,AAA,222,0,2451761.4698,0.375123
206541101010029,245.738436319523,-49.7982631527533,STAR,0.621,,,,,,,333.9081774909954,-0.0903223359474132,16225721-4947544,245.738382,-49.79845,0.11,0.11,45.0,13.173,11.919,9.093,0.021,,,AUU,200,0,2451347.5405,0.684391
206541101010030,245.801634326974,-49.6529500017637,QSO,0.607,,,,,,,334.0401132234289,-0.016987763803727116,16231252-4939111,245.802192,-49.653084,0.08,0.08,45.0,11.188,10.21,9.939,,0.049,0.037,UAA,12,0,2451761.47,1.386396
206541101010032,245.59602928042,-49.913341690785,GALAXY,0.369,,,,,,,333.76184078005963,-0.10638715490122762,16222317-4954489,245.596553,-49.913593,0.06,0.06,90.0,14.181,13.65,13.471,0.022,0.035,0.045,AAE,222,0,2451347.5341,1.514104
206541101010036,245.65499068661,-49.943223507057,QSO,0.693,,,,,,,333.76744983801467,-0.154367692418903,16223708-4956339,245.654529,-49.942757,0.08,0.08,45.0,15.469,14.541,13.994,0.083,0.073,,AAU,220,0,2451347.5404,1.991122
206541101010037,245.645349509701,-49.8045207906048,STAR,0.535,,,,,,,333.8613817583987,-0.05212349447017067,16223504-4948156,245.646008,-49.804337,0.06,0.06,45.0,12.588,12.265,12.235,0.026,0.025,0.025,AAA,222,0,2451347.5405,1.666899
206541101010038,245.363176543658,-49.7641609136761,GALAXY,0.372,,,STAR,1.0,,,333.76116757778846,0.10529014096120426,16212717-4945516,245.363224,-49.764351,0.06,0.06,45.0,14.557,13.945,13.977,0.045,0.048,0.067,AAA,222,0,2451347.5309,0.693152
206541101010039,245.796408439382,-49.884537429606,STAR,0.621,,,,,,,333.87326066272175,-0.1776254013500645,16231121-4953056,245.796745,-49.884907,0.11,0.11,45.0,13.989,12.963,12.896,0.039,,,AUU,266,0,2451761.4698,1.542584
206541101010040,245.787931827992,-49.6725008905255,QSO,0.491,,,STAR,1.0,,,334.0199844089665,-0.024453349703436704,16230900-4940201,245.787515,-49.67226,0.06,0.06,45.0,14.195,13.566,13.492,0.031,0.037,0.041,AAA,222,0,2451761.47,1.301962
206541101010042,245.6930366491,-49.775504147725,GALAXY,0.476,,,STAR,1.0,,,333.9036654026285,-0.05348787429361801,16224632-4946328,245.693025,-49.775791,0.06,0.06,45.0,15.111,14.073,13.442,0.071,0.067,0.055,AAA,222,0,2451347.5405,1.033023
