srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,srcid_x,RAJ2000,DEJ2000,iauname,PriOrSec,mClass,Zmag3,e_Zmag3,Zperrbits,Ymag3,e_Ymag3,Yperrbits,Jmag3,e_Jmag3,Jperrbits,Hmag3,e_Hmag3,Hperrbits,Ksmag3,e_Ksmag3,Ksperrbits,angDist
201199402010034,272.275818718545,-37.0252791361127,QSO,0.735,,,,,,,355.4044963971691,-8.283603232460448,515660467926,272.275767,-37.025212,VVV J180906.18-370130.76,0,-1,,,0,,,0,19.487,0.233,0,19.33,0.513,0,,,0,0.283679
201395601010021,267.311675388184,-37.0170194286128,QSO,0.48,,,,,,,353.4630980348045,-4.8214391698664,515656291982,267.311705,-37.017039,VVV J174914.80-370101.34,0,1,,,0,,,0,,,0,17.55,0.175,0,,,0,0.111559
201395601010039,267.51932083964,-37.109400747641,STAR,0.769,,,,,,,353.4678412197486,-5.0110883291956,515655224356,267.51933,-37.109401,VVV J175004.63-370633.84,0,-1,13.872,0.002,16,13.187,0.002,16,12.527,0.002,16,12.115,0.002,16,11.682,0.002,16,0.027253
201502201010001,262.0127526036,-35.010891249003,QSO,0.54,,,,,,,352.87690583723054,-0.12638363053278054,515634440180,262.012717,-35.010959,VVV J172803.05-350039.45,0,-1,15.23,0.004,4096,14.679,0.004,4096,13.862,0.003,4096,13.356,0.004,4112,12.908,0.006,4112,0.263513
201502201010033,261.91490738939,-35.138206494003,QSO,0.437,,,,,,,352.72655841243886,-0.13053801235440823,515634673051,261.914991,-35.138187,VVV J172739.59-350817.47,0,1,,,0,18.313,0.06,4240,16.127,0.013,4240,14.683,0.011,4112,13.454,0.01,4112,0.256485
201529201010009,266.84818130924,-30.076313089949,QSO,0.49,,,STAR,1.0,,,359.22600183713513,-0.9217655658166501,515543876359,266.848113,-30.076287,VVV J174723.54-300434.63,0,-1,12.587,0.001,16,12.077,0.001,16,11.653,0.001,16,11.219,0.002,16,10.897,0.003,16,0.231787
201529201010013,266.72779267126,-30.110857148126,QSO,0.575,,,STAR,1.0,,,359.1424779218268,-0.8505738334083572,515543629493,266.727831,-30.110889,VVV J174654.67-300639.20,0,-1,12.425,0.001,0,12.081,0.001,16,11.79,0.001,16,11.322,0.002,16,11.111,0.003,16,0.165707
201529201010025,266.82706603216,-30.069635451368,QSO,0.574,,,,,,,359.222253287726,-0.9026752057529032,515543592446,266.827119,-30.069584,VVV J174718.50-300410.50,0,-1,17.395,0.031,0,16.948,0.039,0,16.273,0.042,0,15.518,0.094,0,15.226,0.135,16,0.247999
201529201010037,266.71427629684,-30.030397639614,GALAXY,0.714,,,,,,,359.20521129344684,-0.7988447676563004,515545107452,266.714291,-30.030397,VVV J174651.42-300149.42,0,-1,,,0,,,0,,,0,,,0,14.78,0.092,16,0.045766
201529201010111,266.6848562099,-29.998009829919,GALAXY,0.714,,,STAR,1.0,,,359.2196849708873,-0.7602637890162658,515545056243,266.684826,-29.997973,VVV J174644.35-295952.70,0,-1,,,0,,,0,,,0,,,0,16.045,0.294,0,0.162221
201529201015043,266.80636834651,-30.2801305696031,STAR,0.536,,,,,,,359.032893452955,-0.9963825340822491,515543870225,266.806407,-30.280117,VVV J174713.53-301648.42,0,-1,9.201,0.0,65552,8.951,0.0,65552,9.145,0.001,65552,8.24,0.001,65552,7.915,0.001,65552,0.127756
201529201015060,266.8655784271,-29.908286849815,GALAXY,0.555,,,,,,,359.37758301741053,-0.8476813293503466,515544769844,266.865647,-29.908309,VVV J174727.75-295429.91,0,-1,,,0,,,0,17.168,0.095,0,14.97,0.051,0,13.866,0.04,0,0.228642
201529201015081,267.08536310107,-30.084039553487,GALAXY,0.698,,,,,,,359.3254715865647,-1.101464528587472,515544468904,267.085325,-30.084111,VVV J174820.47-300502.80,0,1,,,0,,,0,15.661,0.024,16,13.938,0.02,16,13.973,0.044,16,0.284916
201529201015139,266.567655337797,-30.0260318568756,GALAXY,0.743,,,STAR,0.997,,,359.1430269358842,-0.6880886194973622,515544436506,266.567605,-30.026101,VVV J174616.22-300133.96,0,-1,,,0,,,0,17.385,0.116,0,14.99,0.059,0,14.0,0.044,0,0.294558
201547503010018,267.80886663505,-30.568097139785,GALAXY,0.692,,,,,,,359.23047088553454,-1.8858697783667053,515553620090,267.808842,-30.568092,VVV J175114.12-303405.13,0,-1,,,0,,,0,17.162,0.325,0,16.297,0.29,0,15.986,0.28,0,0.077254
201547505010006,259.99680437541,-31.72247880686,GALAXY,0.966,,,,,,,354.64715443658866,3.1164025616225035,515566687901,259.996783,-31.722544,VVV J171959.22-314321.15,0,-1,,,0,,,0,,,0,17.752,0.356,0,17.293,0.383,0,0.243518
