   l               b                  Area
   300.9656650    -2.0048003          0.0000
   300.9003484    -1.0526112          0.0000
   300.9406142    -1.5362207          0.0000
   300.9370152    -1.4367840          0.0000
   300.9763758    -1.9827183         33.9580
   300.9394637    -1.3084555          0.0000
   300.9827396    -1.8780621          0.0000
   300.9676349    -1.5582397         26.4694
   301.0031891    -1.5807205          0.0000
   300.9913911    -1.3987805         40.7582
   301.0022075    -1.4160748          0.0000
   301.0205475    -1.6812218          0.0000
   301.0070925    -1.1760158          0.0000
   301.0774921    -1.9379673         36.8800
   301.1025358    -2.0389139          0.0000
   301.1028709    -1.7577392         37.7444
   301.1182221    -1.8240517         33.1734
   301.1531440    -1.8839735         31.9264
   301.1723475    -1.9842956         30.8304
   301.1821092    -2.0570500         37.3132
   301.1951847    -2.1742545          0.0000
   301.1640223    -1.6000223          0.0000
   301.2031038    -2.1810445          0.0000
   301.1742300    -1.7154673         23.5034
   301.1932542    -1.7161079         25.5808
   301.2237308    -2.1518754         33.7420
   301.2530596    -2.1951858          0.0000
   301.1845705    -1.0620008          0.0000
   301.2125567    -1.4481708          0.0000
   301.2390358    -1.8248261         33.2611
   301.1976330    -1.1383522          0.0000
   301.1952542    -1.0935638         28.9356
   301.2101225    -1.1342312          0.0000
   301.2780802    -1.9744386          0.0000
   301.2864260    -1.8408972         41.0375
   301.2869759    -1.8470754         43.4348
   301.2911942    -1.6898464          0.0000
   301.3582751    -1.4312930          0.0000
   301.3744840    -1.6464624          0.0000
   301.4670424    -2.1575494          0.0000
   301.4842214    -1.9724007          0.0000
   301.4774120    -1.4784375          0.0000
   301.5126191    -1.6169956          0.0000
   301.5466304    -2.0911395          0.0000
   301.6097754    -1.4731084          0.0000
   301.6102991    -1.4248496          0.0000
   301.7276574    -2.1916413          0.0000
   301.7099367    -1.7738156          0.0000
   301.7648615    -2.0972622          0.0000
   301.7969720    -1.9781648          0.0000
   301.8052005    -1.5300820          0.0000
   301.8210053    -1.7289666          0.0000
   301.8359973    -1.7291885          0.0000
   301.8774574    -1.1704775          0.0000
   301.8949413    -1.1480742          0.0000
   301.9203122    -1.2611965          0.0000
   301.9734869    -1.7563266          0.0000
   301.9983031    -1.7692439          0.0000
   302.0102025    -2.0496521          0.0000
   302.0410233    -2.0982657          0.0000
   302.0325169    -1.6807310         27.9136
   302.0360068    -1.6542740          0.0000
   302.1004497    -2.1377675         14.1690
   302.1054000    -2.0712062          0.0000
   302.1105507    -2.2044014          0.0000
   302.1129019    -2.1786687          8.0855
   302.1226512    -2.1529253          5.7886
   302.1179123    -1.7649853         42.1597
   302.1281555    -1.5633102          0.0000
   302.1603349    -2.1582930         17.0642
   302.1656358    -1.7092677         40.9041
   302.1725054    -1.8567242          0.0000
   302.1814613    -1.6096472         33.5498
   302.1975133    -2.1876548          0.0000
   302.2123203    -2.0475197          0.0000
   302.2073271    -1.4862280          0.0000
   302.2331013    -2.2216276          0.0000
   302.2267896    -1.8588699         17.7548
   302.2445998    -1.5682292          0.0000
   302.2512256    -1.7796101         37.4798
   302.2588392    -2.0731117         19.0038
   302.2640816    -2.0627898         35.6792
   302.2604730    -1.7909668         23.4204
   302.2638942    -1.8999459         42.0606
   302.3283862    -2.1594462          0.0000
   302.3493193    -1.8838071         30.2482
   302.3683727    -2.1491662          0.0000
   302.3856287    -1.8869119         18.5301
   302.3967078    -1.7619802         39.7667
   302.4081025    -1.5448927          0.0000
   302.4177471    -1.9505332          0.0000
   302.4173478    -1.7488453          0.0000
   302.4121072    -1.3844897          0.0000
   302.4497302    -1.8291331          0.0000
   302.4611150    -1.9393223         20.5605
   302.4723974    -2.1099950          0.0000
   302.5059765    -1.4476703          0.0000
   302.5140738    -1.9459548         34.7694
   302.5100203    -1.1590963          0.0000
   302.5241963    -1.3796110         40.3211
   302.5346841    -2.0182260          0.0000
   302.5409601    -1.3001040          0.0000
   302.5491220    -1.0947524          0.0000
   302.5785574    -2.2360921          0.0000
   302.6040247    -2.1729477          0.0000
   302.5979679    -1.6610934          0.0000
   302.5968910    -1.2479666          0.0000
   302.6200599    -1.8404273          0.0000
   302.6408532    -1.8862121          0.0000
   302.6472070    -1.1893390          0.0000
   302.6569297    -1.4700759          0.0000
   302.6680842    -1.5025196          0.0000
   302.6894360    -1.7850663         42.4149
   302.7211242    -1.7110137          0.0000
   302.7348310    -2.1094329          0.0000
   302.7434647    -1.9668984          0.0000
   302.7839267    -1.8719785          0.0000
   302.8247942    -2.1662910          0.0000
   302.8339797    -1.1453600          0.0000
   302.8531659    -1.9505432          0.0000
   302.8538999    -1.9929612          0.0000
   302.8830960    -1.1929123          0.0000
   302.8946864    -2.1710155          0.0000
   302.9445376    -1.2965828          0.0000
   303.0062538    -1.9182607          0.0000
   303.0151417    -1.6839951          0.0000
   303.0178701    -1.3171917          0.0000
   303.0209583    -2.1956960          0.0000
   303.0321196    -2.0490738          0.0000
   303.0674549    -1.8428038          0.0000
   303.0731809    -1.6461201          0.0000
   303.0804717    -2.2317868          0.0000
   303.0904984    -1.5273218          0.0000
   303.1059287    -1.7550385          0.0000
   303.1395958    -1.8539141          0.0000
   303.1812504    -1.2974078          0.0000
   303.1870026    -1.1118219          0.0000
   303.1881389    -1.5786417         29.3279
   303.1955202    -2.1220858          0.0000
   303.2181748    -1.6238174          0.0000
   303.2219616    -1.5957952         11.4660
   303.2234025    -2.2318462          0.0000
   303.2473360    -1.3659472          0.0000
   303.2527139    -1.4995971          0.0000
   303.2460849    -2.0977805          0.0000
   303.2871751    -1.5532997          0.0000
   303.3150535    -2.0890117         30.1290
   303.3237047    -2.1294989         25.3636
   303.3686002    -2.2030714         30.2460
   303.3797779    -1.9231757          0.0000
   303.3787539    -2.2490928          0.0000
   303.3875904    -2.0722850         26.7013
   303.4357896    -1.2904428          0.0000
   303.4414868    -1.1457919          0.0000
