#      l               b                 jmag             hmag             kmag              id_obj       id_clu
       306.62114       -1.9822002        15.000911        14.324582        13.946662          699          717 
       306.64765       -1.9427019        14.419178        13.760302        13.528813          700          717 
       306.65109       -1.9564525        14.644195        14.322317        14.021347          702          717 
       306.66689       -1.8666841        15.516486        14.787567        14.627065          703          717 
       306.71475       -1.7904420        14.410938        13.800575        13.556989          705          717 
       306.75441       -1.8131336        15.278198        14.006554        13.633292          708          717 
       306.77080       -1.8368289        15.313812        14.293479        13.491033          710          717 
       306.88702       -1.7830877        14.857596        14.122466        14.010137          714          717 
       306.91767       -1.7957285        14.336004        13.730192        13.450347          716          717 
       306.97374       -1.6562416        15.514318        14.591568        14.581085          717          717 
       308.03841       -1.8347146        15.241545        14.775787        14.052298          756          771 
       308.04993       -1.7896686        15.265866        14.789897        14.750356          758          771 
       308.09715       -1.8396841        14.770172        14.505341        13.952943          759          771 
       308.10304       -1.8443125        14.642238        14.279108        13.825374          760          771 
       308.15597       -1.8414087        15.064535        14.718641        14.567535          762          771 
       308.17087       -1.8099079        15.472882        15.063841        14.733970          763          771 
       308.18776       -1.7468212        15.625018        14.920782        14.480065          764          771 
       308.23370       -1.7242408        15.468278        14.772536        14.860581          770          771 
       308.24590       -1.7069913        15.791745        14.935791        14.626382          771          771 
       308.34115       -2.0629547        16.282765        15.345490        15.174922          780          809 
       308.32732       -2.1387495        15.921776        15.374734        14.815025          781          809 
       308.34978       -2.0881254        15.893763        15.457807        14.896257          782          809 
       308.34770       -2.1423887        14.581774        14.284638        13.936440          783          809 
       308.45915       -2.1372085        16.270510        15.661768        15.544375          795          809 
       308.49007       -2.1805204        14.795628        15.134229        14.033831          799          809 
       308.60439       -2.1304449        13.377894        12.683749        12.409740          806          809 
       308.61230       -2.1303695        14.184605        13.716541        13.142380          808          809 
       308.61944       -2.1285969        15.954210        15.232309        15.467090          809          809 
       309.05064       -1.7147324        14.943458        14.505982        14.258129          836          844 
       309.03191       -1.8116325        13.978229        13.813175        13.780980          837          844 
       309.06428       -1.6731071        16.154129        14.876369        14.355551          838          844 
       309.10135       -1.6047978        16.129381        15.290525        15.188346          843          844 
       309.09913       -1.6290334        14.519932        13.972344        13.717001          844          844 
       308.96248       -1.3909855        16.002856        15.347526        14.300621          819          845 
       309.03620       -1.3467547        15.374374        14.308274        13.829994          826          845 
       309.09093       -1.2829186        15.439563        14.963130        14.314748          828          845 
       309.14216       -1.2788630        13.542467        13.006123        12.967950          834          845 
       309.14055       -1.2876497        15.049011        14.712705        14.758220          835          845 
       309.19732       -1.3027742        14.995508        13.700433        13.749124          845          845 
       308.70136       -1.9038602        14.815964        14.342257        14.186588          812          911 
       308.71902       -1.8645417        15.339752        15.036865        14.476949          813          911 
       308.84751       -2.0155997        15.975617        14.907827        14.645086          821          911 
       308.90808       -2.0601569        14.760633        14.175241        13.759028          827          911 
       308.95182       -2.0680796        15.034155        14.693136        14.261462          831          911 
       308.92960       -2.1915492        16.294932        15.481302        14.898382          832          911 
       308.96896       -2.1438948        16.088097        15.302929        14.770853          841          911 
       308.96846       -2.1839619        16.409893        15.895050        14.980725          842          911 
       309.03464       -2.1747984        15.258818        14.479115        14.548773          848          911 
       309.10668       -2.1515942        14.537924        14.110555        14.018538          851          911 
       309.09408       -2.2073751        15.498324        15.621430        15.479433          852          911 
       309.09558       -2.2172060        14.560128        14.033337        13.987022          854          911 
       309.09741       -2.2273667        16.077444        15.411857        15.109230          855          911 
       309.14530       -2.0422998        15.535447        14.412380        14.258543          857          911 
       309.12992       -2.1258538        14.526344        14.023269        13.485875          858          911 
       309.16913       -1.9999391        16.181247        15.447357        14.864924          859          911 
       309.22696       -1.9618834        15.996079        15.508003        15.192697          861          911 
       309.21335       -2.0951337        13.508902        12.884679        12.505173          862          911 
       309.27576       -1.9312958        12.929189        13.452869        14.255588          864          911 
       309.26524       -2.0056733        15.371396        15.058522        13.960544          865          911 
       309.24954       -2.0883126        15.063737        14.617398        14.217727          866          911 
       309.27628       -2.0005228        15.202503        15.161097        14.508907          867          911 
       309.28289       -1.9880036        14.258979        13.905286        13.769981          868          911 
       309.29757       -2.0132775        15.135960        14.654746        14.592490          869          911 
       309.28804       -2.0739732        13.399793        12.977509        13.061731          870          911 
       309.27128       -2.1831540        14.852045        14.592958        14.645582          871          911 
       309.31495       -2.0425331        15.639870        16.366768        14.952341          872          911 
       309.29919       -2.1747849        15.610826        15.775049        15.140480          874          911 
       309.38599       -2.0601140        14.613826        13.915409        13.406433          877          911 
       309.42272       -2.1716131        15.924976        15.483335        14.754674          882          911 
       309.44287       -2.1307348        15.142781        14.708406        14.268162          883          911 
       309.45138       -2.1459640        16.731994        16.140602        15.338206          885          911 
       309.48943       -2.0446038        14.028191        13.114477        12.866111          888          911 
       309.46037       -2.1731084        16.138404        15.489365        14.837349          889          911 
       309.49255       -2.0939050        13.642702        13.356828        13.124944          890          911 
       309.51623       -2.0456970        14.193022        13.673319        13.542358          891          911 
       309.53963       -2.0005634        15.394851        14.889559        14.097613          892          911 
       309.56030       -2.0842944        15.473287        14.808164        14.667625          894          911 
       309.66075       -1.7465679        15.006700        14.748457        14.258265          896          911 
       309.62088       -1.9304590        14.963885        14.012586        13.525844          897          911 
       309.63602       -1.9129135        14.204746        13.443847        13.104187          898          911 
       309.59722       -2.0740587        14.674164        14.126011        13.998053          899          911 
       309.64674       -1.8994652        16.113837        15.318450        14.715367          900          911 
       309.65927       -1.9520977        15.523677        15.004729        14.875857          901          911 
       309.70259       -1.8162454        16.162535        14.700280        14.526055          902          911 
       309.72377       -1.8058606        15.065068        14.414372        13.987204          903          911 
       309.68996       -1.9541526        15.614157        14.668050        14.807133          904          911 
       309.66582       -2.0930688        15.227384        14.813436        14.472153          906          911 
       309.72530       -2.0129417        16.869186        15.866155        15.102791          910          911 
       309.73300       -2.0290603        15.513269        14.852149        14.510438          911          911 
       311.50797       -1.9763862        16.394882        15.451178        15.094543          962          970 
       311.52181       -2.0301754        14.956206        14.511606        14.155074          966          970 
       311.52980       -2.0096028        14.096105        14.052153        13.183949          967          970 
       311.68796       -1.9467093        15.743538        14.638508        14.099066          969          970 
       311.69333       -1.9492202        15.819698        15.350610        15.016418          970          970 
       314.08762       -1.9883255        15.420394        14.804435        14.500469         1058         1065 
       314.09046       -2.0577981        13.839672        13.670569        13.421456         1060         1065 
       314.11213       -2.0425426        14.419659        13.657519        13.219088         1061         1065 
       314.08746       -2.1341524        14.608894        14.116250        13.943956         1064         1065 
       314.16895       -1.9413279        14.935348        14.195091        13.881486         1065         1065 
       316.42626       -1.2121407        14.761437        13.968859        13.616443         1158         1186 
       316.43151       -1.2307358        16.204053        14.976291        14.291833         1160         1186 
       316.46160       -1.2230349        15.703625        15.126192        14.239022         1163         1186 
       316.59172       -1.2471585        14.521307        13.859085        13.622850         1173         1186 
       316.60858       -1.2547405        15.606075        15.091063        14.844047         1186         1186 
       316.83899       -1.5320948        15.193277        14.588160        14.331503         1195         1206 
       316.85356       -1.5307155        14.962113        14.381813        14.021471         1196         1206 
       316.93235       -1.4673022        15.927701        14.832234        14.503116         1203         1206 
       316.91241       -1.5133965        16.155319        15.140943        14.457608         1204         1206 
       316.94063       -1.4786263        13.652793        12.781824        12.338082         1206         1206 
       317.83784       -1.8281245        14.876158        14.408364        14.100489         1274         1279 
       317.82160       -1.8662646        15.519157        14.832264        14.424280         1275         1279 
       317.89284       -1.7895270        15.551941        14.823196        14.307074         1276         1279 
       317.85675       -1.8857375        15.244565        14.327891        13.853984         1278         1279 
       317.86699       -1.8708097        17.064772        16.116735        15.051593         1279         1279 
       319.25762       -1.9993026        15.641812        15.098441        14.943014         1350         1375 
       319.26640       -2.0063959        16.142426        15.150405        15.126581         1352         1375 
       319.22261       -2.1152625        16.550182        15.403697        15.077016         1354         1375 
       319.25363       -2.0745614        15.697098        14.991536        14.857661         1355         1375 
       319.26413       -2.0577938        14.732466        14.256093        14.202152         1356         1375 
       319.26683       -2.1650209        15.922813        15.402762        15.276206         1358         1375 
       319.26286       -2.1853973        16.286773        16.188145        15.495296         1359         1375 
       319.26861       -2.1905050        16.441330        15.812537        15.675486         1360         1375 
       319.29548       -2.1738835        16.603063        16.180553        15.134576         1361         1375 
       319.48032       -1.9899928        15.242894        14.958697        14.693757         1365         1375 
       319.47049       -2.0205369        15.160200        14.922635        15.027013         1366         1375 
       319.43034       -2.1080339        14.568914        13.993325        13.802404         1367         1375 
       319.45766       -2.0732965        16.334727        15.886122        15.562992         1368         1375 
       319.44335       -2.1319189        15.423939        15.157249        14.718367         1370         1375 
       319.44163       -2.1392848        16.343324        15.762200        15.691434         1371         1375 
       319.46617       -2.1135491        16.420976        15.500279        15.302372         1372         1375 
       319.45192       -2.1937889        15.427822        15.088801        14.942661         1374         1375 
       319.48222       -2.1473728        15.776324        15.497986        15.352027         1375         1375 
       319.08085       -1.5786621        16.104604        15.010964        14.860766         1320         1377 
       319.09616       -1.5824402        12.561214        11.845533        11.789500         1322         1377 
       319.11780       -1.5485236        15.079341        14.632753        14.508844         1323         1377 
       319.21776       -1.5039202        16.613487        14.391368        15.210999         1328         1377 
       319.20190       -1.5482516        14.147405        13.614262        13.500428         1329         1377 
       319.22741       -1.5604733        15.615121        15.000776        15.093625         1330         1377 
       319.32034       -1.4106538        14.610250        13.734672        13.490114         1331         1377 
       319.33001       -1.4232953        14.912712        14.503837        14.528457         1333         1377 
       319.28652       -1.5516731        14.141075        13.511603        13.272720         1334         1377 
       319.30648       -1.5669241        15.856665        15.322384        14.709626         1335         1377 
       319.43338       -1.3617172        14.666999        13.471868        13.607661         1336         1377 
       319.49117       -1.3045598        15.938113        14.803002        14.737417         1339         1377 
       319.49327       -1.3325249        15.364497        14.778039        14.641686         1340         1377 
       319.45262       -1.4334649        16.460218        15.789871        15.202101         1342         1377 
       319.45699       -1.4493885        15.376503        15.069847        14.180469         1345         1377 
       319.48510       -1.3228812        13.306355        12.734540        12.874361         1377         1377 
       319.92649       -1.8980790        16.111238        15.539897        15.129241         1406         1417 
       319.92551       -1.9396929        14.277431        13.537215        13.433694         1411         1417 
       319.95089       -1.9083361        14.775949        14.216539        13.916354         1412         1417 
       319.92734       -1.9627054        14.363732        13.569351        13.175847         1413         1417 
       319.92940       -1.9738425        15.254701        14.716705        14.386117         1414         1417 
       319.97138       -1.9601587        13.893392        13.328976        13.167698         1417         1417 
       320.11106       -1.4759701        14.646388        14.201120        13.968125         1397         1419 
       320.15368       -1.4499619        15.958882        15.276283        15.008202         1400         1419 
       320.05343       -1.6449444        14.471855        13.936128        14.018249         1401         1419 
       320.13314       -1.5350394        15.461244        14.785523        14.663199         1402         1419 
       320.12167       -1.5877499        16.442155        15.176337        15.076544         1407         1419 
       320.19199       -1.5497203        15.279528        14.163768        14.262439         1415         1419 
       320.16242       -1.6645901        15.666641        14.907622        14.818152         1419         1419 
