name,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_YSO,P_LMXB,P_NS,e_P_LMXB,e_P_NS,Class,Class_prob,Class_prob_e,conf_flag,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W3,cp_counts,CSC_flags,GLON,GLAT,PU_TeV,TeV_extent,HESS,true_Class
2CXO J163317.1-474023,0.0,0.0313152610441767,0.1033935742971887,0.0109939759036144,0.3050200803212851,0.5442670682730923,0.0,0.0316319444165226,0.0530035527288966,0.0139747066511375,0.1124147900567853,0.1220361794934854,0.0047489959839357,0.0002610441767068,0.0079721404977939,0.0017742231689736,YSO,0.5442670682730923,0.1220361794934854,0.0,248.32166666666663,-47.673116666666665,1.01,8.1,2.548570487911657e-14,-0.8595135327105157,,0.357,13.899922,11.786,,8,,336.393951,0.258208,21.83568,extent,J1632-478,
2CXO J163355.1-473804,3.012048192771084e-05,0.2742520080321285,0.0407680722891566,0.0363654618473895,0.0006024096385542,0.0761621485943775,0.0005482694432981,0.0995828876037517,0.025763466492835,0.0310105018989968,0.0027707289494688,0.0399517430390879,0.470589859437751,0.1012299196787148,0.1110454418622042,0.0483867205130042,LMXB,0.470589859437751,0.1110454418622042,0.0,248.47975,-47.634588888888885,0.76,16.77,2.797623931843409e-13,0.9163309720483651,1.0,0.773,18.721506,,,3,extent,336.393951,0.258208,21.83568,extent,J1632-478,
2CXO J163358.9-474214,0.0009086345381526,0.0079467871485943,0.0949397590361445,0.0281124497991967,0.0323092369477911,0.8344779116465864,0.0066651939050511,0.0093306745283847,0.0500426590436897,0.0358318435288483,0.0360957514311167,0.0695562280342167,0.0009437751004016,0.0003614457831325,0.0032812626883215,0.0021779801435275,YSO,0.8344779116465864,0.0695562280342167,1.0,248.49575,-47.704150000000006,0.79,9.63,8.842883559406249e-14,0.9646687337665406,1.0,0.352,,14.464,,3,,336.393951,0.258208,21.83568,extent,J1632-478,
2CXO J163350.9-474638,0.0343022088353413,0.0030321285140562,0.0047740963855421,0.0076857429718875,0.0002259036144578,0.0162248995983935,0.0789812014726981,0.0107900462174368,0.0121475092753502,0.0218006186245313,0.0015447013296219,0.0254132799235423,0.2866817269076305,0.6470732931726908,0.2064182661744888,0.2360881865080115,NS,0.6470732931726908,0.2360881865080115,0.0,248.46225,-47.77748333333333,0.96,11.21,2.2777802174811854e-13,0.9907119203505194,,0.041,,,,0,extent,336.393951,0.258208,21.83568,extent,J1632-478,
2CXO J163201.8-475228,,,,,,,,,,,,,,,,,,,,,248.00779166666663,-47.87445,1.56,45.1,9.577918688666454e-12,0.9983464698492742,,0.947,,14.08,,5,extent,336.393951,0.258208,21.83568,extent,J1632-478,HMXB
2CXO J174458.4-301744,0.0,0.0010542168674698,0.0965763052208835,0.004226907630522,0.8426104417670682,0.0532630522088353,0.0,0.0037501185628368,0.0688981857584599,0.0101101828798902,0.0939550456571001,0.039850160057449,0.001867469879518,0.0004016064257028,0.0055389444438318,0.0022504845775717,LM-STAR,0.8426104417670682,0.0939550456571001,1.0,266.24354166666666,-30.29573611111111,2.44,6.61,3.438515425676633e-14,-0.8548801030235544,,0.508,10.507258,9.067,8.33,9,,358.644836,-0.564217,21.46848,extent,J1745-303,
2CXO J174508.5-300323,0.0,0.1149698795180722,0.2028263052208835,0.0046686746987951,0.0879317269076305,0.5050100401606425,0.0,0.073123074446223,0.0862057195388406,0.0071727193003357,0.0424943313680993,0.0980572589344977,0.0770682730923694,0.0075251004016064,0.0447577438619034,0.0098289068332977,YSO,0.5050100401606425,0.0980572589344977,0.0,266.2854166666666,-30.05658611111112,1.08,7.11,7.343204273646897e-15,-0.4454387227312221,0.256,0.706,16.844118,14.148,,6,,358.644836,-0.564217,21.46848,extent,J1745-303,
2CXO J150645.7-621648,0.099789156626506,0.2144829317269076,0.0296736947791164,0.0028112449799196,0.0409487951807229,0.1780722891566265,0.0501295379568815,0.0783142664621003,0.0199161294397914,0.0056291161651031,0.028398251566149,0.0722822412990687,0.3244829317269076,0.1097389558232931,0.0803244595615721,0.084856557230654,LMXB,0.3244829317269076,0.0803244595615721,0.0,226.6907083333333,-62.28002222222222,0.77,6.02,2.19095923229752e-14,-0.6503602037090245,,0.063,19.528727,,,5,,317.969269,-3.4769879999999995,21.038880000000002,extent,J1507-622,
2CXO J150708.8-621643,0.0080722891566265,0.1807881526104417,0.1709487951807229,0.008293172690763,0.205722891566265,0.3279919678714859,0.0095527519874322,0.0831479053918743,0.06437935925469,0.0100199997780467,0.0614819458573352,0.0699029042016287,0.0952710843373494,0.0029116465863453,0.0508547721109948,0.0055957831305204,YSO,0.3279919678714859,0.0699029042016287,0.0,226.78675,-62.278875,0.73,11.11,5.78777098208465e-14,-0.5525323252933853,,0.207,13.542193,10.672,,7,,317.969269,-3.4769879999999995,21.038880000000002,extent,J1507-622,
2CXO J150706.7-621858,0.0859496318607764,0.0005672690763052,0.0895833333333333,3.012048192771084e-05,1.004016064257028e-05,0.0078514056224899,0.086116341591409,0.0036360137446997,0.0761422371930134,0.0005482694432981,0.0003168621252622,0.0120113852201426,0.3761646586345382,0.4398435408299866,0.1970064891821671,0.2075681793006369,NS,0.4398435408299866,0.2075681793006369,0.0,226.778125,-62.31631944444444,0.73,6.02,4.4802728677807544e-14,0.8673394760600436,,,,,,0,,317.969269,-3.4769879999999995,21.038880000000002,extent,J1507-622,
